window_index,ticker,window_start,window_end,feed_queries,rss_rows_recorded,queries_attempted,articles_saved,independent_articles,directional_raw_observations,raw_match_rate,directional_excess_observations,excess_match_rate,average_return_20d,average_excess_return_20d,what_went_wrong
5,SOUN,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,UUUU,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
6,ARCT,2026-02-24,2026-03-03,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
6,ASTS,2026-02-24,2026-03-03,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
6,BBAI,2026-02-24,2026-03-03,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
6,CRSP,2026-02-24,2026-03-03,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
6,IONQ,2026-02-24,2026-03-03,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
6,RDW,2026-02-24,2026-03-03,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
6,RKLB,2026-02-24,2026-03-03,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
6,RXRX,2026-02-24,2026-03-03,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
